TRF667,REK829,REK481,500000
TRF441,REK263,REK696,500000
TRF697,REK263,REK696,500000
TRF504,rek124,rek123,500000
TRF725,rek123,rek124,500000
TRF043,rek124,rek123,500000
TRF232,REK124,REK123,500000
TRF218,REK124,REK123,500000
TRF497,REK124,REK123,500000
TRF286,REK124,REK123,500000
TRF369,rek124,rek123,500000
TRF881,rek123,rek124,1000000
TRF453,rek124,rek123,500000
TRF477,rek123,rek124,500000
TRF519,rek124,rek123,500000
TRF281,rek125,rek126,500000
TRF388,rek124,rek123,500000
TRF549,rek123,rek124,500000
TRF511,rek123,rek124,500000
TRF324,rek123,rek124,500000
TRF908,rek123,rek124,500000
TRF884,rek124,rek123,500000
TRF145,REK638,REK450,500000
